Year,GeoCode,Value
1465,2017,,3.9
1466,2018,,3.5
1476,2015,,3.4
1477,2016,,3.1
1478,2017,,2.9
1479,2018,,2.6
1489,2015,,3.6
1490,2016,,3.4
1491,2017,,3.7
1492,2018,,3.2
1502,2015,,3.5
1503,2016,,3.5
1504,2017,,3.4
1505,2018,,3.3
1515,2015,,2.8
1516,2016,,2.9
1517,2017,,2.8
1518,2018,,2.6
1528,2015,,3.5
1529,2016,,3.1
1530,2017,,3.2
1531,2018,,3.3
1541,2015,,3.6
1542,2016,,3.5
1543,2017,,3.4
1544,2018,,3.4
1554,2015,,3.6
1555,2016,,3.6
1556,2017,,3.1
1557,2018,,3.2
1567,2015,,3.2
1568,2016,,3.4
1569,2017,,3.3
1570,2018,,2.9
1580,2015,,3.2
1581,2016,,2.8
1582,2017,,2.8
1583,2018,,2.9
1593,2015,,3.1
1594,2016,,3.2
1595,2017,,3.3
1596,2018,,3.2
1606,2015,,3.5
1607,2016,,3.3
1608,2017,,3.4
1609,2018,,3.2
1619,2015,,3
1620,2016,,2.9
1621,2017,,2.9
1622,2018,,2.7
1632,2015,,3
1633,2016,,3.1
1634,2017,,3.1
1635,2018,,3.1
1645,2015,,3.7
1646,2016,,3.8
1647,2017,,3
1648,2018,,2.8
1658,2015,,2.9
1659,2016,,2.8
1660,2017,,2.6
1661,2018,,2.7
1671,2015,,2.8
1672,2016,,2.5
1673,2017,,2.4
1674,2018,,2.6
1684,2015,,2.5
1685,2016,,2.7
1686,2017,,2.4
1687,2018,,2.4
1697,2015,,2.8
1698,2016,,2.6
1699,2017,,2.5
1700,2018,,2.6
1710,2015,,3.8
1711,2016,,3.9
1712,2017,,3.1
1713,2018,,3.5
1723,2015,,4.9
1724,2016,,5.5
1725,2017,,4.7
1726,2018,,4.8
1736,2015,,3.2
1737,2016,,3.9
1738,2017,,3.9
1739,2018,,3.1
1749,2015,,3.2
1750,2016,,3.4
1751,2017,,3.2
1752,2018,,3.2
1762,2015,,2.7
1763,2016,,2.6
1764,2017,,3.1
1765,2018,,3.4
1775,2015,,4.6
1776,2016,,5.9
1777,2017,,3.5
1778,2018,,3.2
1788,2015,,3.2
1789,2016,,3.5
1790,2017,,3.2
1791,2018,,4.1
1801,2015,,2.9
1802,2016,,3.1
1803,2017,,2.8
1804,2018,,3
1814,2015,,2.9
1815,2016,,3.1
1816,2017,,3.1
1817,2018,,3
1827,2015,,3
1828,2016,,2.9
1829,2017,,2.9
1830,2018,,2.7
1840,2015,,2.9
1841,2016,,2.8
1842,2017,,2.5
1843,2018,,2.6
1853,2015,,2.6
1854,2016,,2.6
1855,2017,,2.5
1856,2018,,2.5
1866,2015,,3
1867,2016,,3.1
1868,2017,,3.4
1869,2018,,3.3
1879,2015,,2.9
1880,2016,,2.8
1881,2017,,2.9
1882,2018,,2.7
1892,2015,,3.1
1893,2016,,3.1
1894,2017,,2.9
1895,2018,,3.1
1905,2015,,3.2
1906,2016,,3.1
1907,2017,,2.8
1908,2018,,2.9
1918,2015,,2.8
1919,2016,,2.8
1920,2017,,2.7
1921,2018,,2.7
1931,2015,,3.4
1932,2016,,3.1
1933,2017,,2.9
1934,2018,,2.9
1944,2015,,2.8
1945,2016,,2.9
1946,2017,,2.7
1947,2018,,2.7
1957,2015,,2.5
1958,2016,,2.7
